date,min_temperature_f,min_dew_point_f,min_humidity
11/29/2013,43,39,37
11/30/2013,43,38,42
12/1/2013,41,39,44
12/2/2013,42,40,60
12/3/2013,43,31,43
12/4/2013,36,18,26
12/5/2013,29,14,22
12/6/2013,33,22,38
12/7/2013,34,24,39
12/8/2013,32,19,37
12/9/2013,29,13,26
12/10/2013,29,22,38
12/11/2013,32,26,35
12/12/2013,33,27,33
12/13/2013,35,31,44
12/14/2013,34,31,36
12/15/2013,35,31,39
12/16/2013,38,33,29
12/17/2013,41,34,39
12/18/2013,43,39,57
12/19/2013,44,22,36
12/20/2013,38,4,10
12/21/2013,37,26,53
12/22/2013,37,33,27
12/23/2013,40,35,46
12/24/2013,40,35,31
12/25/2013,38,35,37
12/26/2013,37,34,34
12/27/2013,39,34,51
12/28/2013,36,30,28
12/29/2013,41,19,16
12/30/2013,37,28,27
12/31/2013,39,35,59
1/1/2014,36,32,40
1/2/2014,39,34,34
1/3/2014,42,34,39
1/4/2014,40,26,25
1/5/2014,36,25,26
1/6/2014,40,31,42
1/7/2014,43,36,43
1/8/2014,48,43,72
1/9/2014,46,40,51
1/10/2014,41,37,52
1/11/2014,44,40,67
1/12/2014,42,36,42
1/13/2014,45,31,26
1/14/2014,44,19,14
1/15/2014,43,31,22
1/16/2014,41,28,22
1/17/2014,41,31,34
1/18/2014,39,29,22
1/19/2014,38,29,26
1/20/2014,39,29,20
1/21/2014,40,30,36
1/22/2014,40,19,13
1/23/2014,41,29,24
1/24/2014,42,34,36
1/25/2014,45,31,23
1/26/2014,46,32,26
1/27/2014,47,46,60
1/28/2014,48,46,63
1/29/2014,56,46,63
1/30/2014,53,39,46
1/31/2014,45,26,27
2/1/2014,38,27,28
2/2/2014,42,35,63
2/3/2014,42,35,47
2/4/2014,38,34,51
2/5/2014,37,32,47
2/6/2014,47,44,71
2/7/2014,50,45,72
2/8/2014,54,49,67
2/9/2014,59,52,63
2/10/2014,52,50,72
2/11/2014,49,46,62
2/12/2014,49,46,60
2/13/2014,49,46,63
2/14/2014,53,49,60
2/15/2014,50,47,63
2/16/2014,50,30,31
2/17/2014,42,37,47
2/18/2014,43,40,44
2/19/2014,50,42,44
2/20/2014,45,34,31
2/21/2014,43,37,29
2/22/2014,44,34,26
2/23/2014,49,45,45
2/24/2014,45,41,35
2/25/2014,47,43,56
2/26/2014,54,46,67
2/27/2014,54,44,48
2/28/2014,54,46,52
8/29/2013,64,58,55
8/30/2013,63,57,47
8/31/2013,59,52,55
9/1/2013,61,54,47
9/2/2013,66,58,58
9/3/2013,58,52,44
9/4/2013,56,49,43
9/5/2013,56,50,41
9/6/2013,54,47,31
9/7/2013,58,48,26
9/8/2013,60,53,46
9/9/2013,59,52,44
9/10/2013,62,54,52
9/11/2013,56,50,55
9/12/2013,61,53,60
9/13/2013,61,54,62
9/14/2013,57,50,62
9/15/2013,56,49,52
9/16/2013,60,51,45
9/17/2013,56,49,43
9/18/2013,52,46,36
9/19/2013,52,45,37
9/20/2013,52,46,54
9/21/2013,56,50,61
9/22/2013,50,46,46
9/23/2013,52,46,44
9/24/2013,32,15,41
9/25/2013,55,44,42
9/26/2013,47,39,29
9/27/2013,46,38,28
9/28/2013,47,37,28
9/29/2013,53,46,52
9/30/2013,57,44,55
10/1/2013,50,42,48
10/2/2013,50,42,41
10/3/2013,46,37,30
10/4/2013,54,34,21
10/5/2013,47,36,20
10/6/2013,47,35,25
10/7/2013,50,38,23
10/8/2013,48,40,39
10/9/2013,49,41,43
10/10/2013,48,39,46
10/11/2013,46,40,60
10/12/2013,47,41,46
10/13/2013,45,39,38
10/14/2013,44,37,29
10/15/2013,45,36,26
10/16/2013,46,35,27
10/17/2013,46,36,24
10/18/2013,46,37,38
10/19/2013,46,39,40
10/20/2013,49,42,53
10/21/2013,51,44,58
10/22/2013,49,43,60
10/23/2013,53,48,65
10/24/2013,48,42,65
10/25/2013,44,39,55
10/26/2013,44,39,48
10/27/2013,47,41,57
10/28/2013,52,43,47
10/29/2013,48,40,57
10/30/2013,42,36,49
10/31/2013,43,36,41
11/1/2013,43,37,36
11/2/2013,44,37,58
11/3/2013,42,35,34
11/4/2013,40,32,32
11/5/2013,42,32,30
11/6/2013,43,34,33
11/7/2013,47,38,35
11/8/2013,46,40,54
11/9/2013,44,38,50
11/10/2013,44,38,61
11/11/2013,52,46,56
11/12/2013,50,42,48
11/13/2013,46,40,48
11/14/2013,50,44,69
11/15/2013,43,38,43
11/16/2013,43,36,52
11/17/2013,42,37,57
11/18/2013,42,37,62
11/19/2013,48,42,61
11/20/2013,52,47,78
11/21/2013,46,32,36
11/22/2013,40,28,26
11/23/2013,40,32,36
11/24/2013,39,32,44
11/25/2013,38,32,48
11/26/2013,42,35,54
11/27/2013,41,35,54
11/28/2013,45,39,46
11/29/2013,41,35,45
11/30/2013,41,34,54
12/1/2013,41,35,52
12/2/2013,40,34,66
12/3/2013,39,30,49
12/4/2013,32,24,36
12/5/2013,28,20,32
12/6/2013,34,22,45
12/7/2013,34,25,42
12/8/2013,31,21,42
12/9/2013,29,18,35
12/10/2013,28,20,45
12/11/2013,31,23,42
12/12/2013,31,23,42
12/13/2013,34,26,49
12/14/2013,34,27,46
12/15/2013,34,27,47
12/16/2013,37,30,43
12/17/2013,39,31,44
12/18/2013,43,35,57
12/19/2013,41,28,45
12/20/2013,34,21,22
12/21/2013,37,26,54
12/22/2013,38,32,40
12/23/2013,39,31,50
12/24/2013,38,32,43
12/25/2013,36,29,48
12/26/2013,36,29,43
12/27/2013,36,29,54
